target,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,real_recall_mean,real_recall_std,fake_recall_mean,fake_recall_std,elapsed_minutes_mean
LIAR test,5,0.6412,0.0065,0.6322,0.0090,0.7048,0.0292,0.5591,0.0447,8.7524
FakeNewsNet PolitiFact titles,5,0.4835,0.0453,0.4371,0.0710,0.1782,0.0995,0.9245,0.0392,8.7524
FakeNewsNet GossipCop titles,5,0.2844,0.0226,0.2601,0.0329,0.0709,0.0395,0.9589,0.0315,8.7524
FakeNewsNet combined titles,5,0.2935,0.0234,0.2682,0.0342,0.0747,0.0414,0.9564,0.0320,8.7524
