model_key,seed,epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1,elapsed_minutes
weighted_bert,42,1,0.6770203874446452,0.57080078125,0.5706782420073035,0.6495970686276754,0.6207165109034268,0.6196180412982581,2.863731789588928
weighted_bert,42,2,0.6079067297279834,0.670703125,0.6686090630602596,0.6343270710536412,0.6425233644859814,0.6407187380934238,2.869049604733785
weighted_bert,42,3,0.46973602960351857,0.7828125,0.7802956352403727,0.7047702301116217,0.6347352024922118,0.6282958715383975,2.8802961826324465
weighted_bert,52,1,0.6727454187348485,0.580859375,0.5806962082679955,0.6432382180577233,0.631619937694704,0.6232840727588507,2.88439044157664
weighted_bert,52,2,0.6181653459556401,0.663671875,0.662828947368421,0.6272261909076146,0.6456386292834891,0.6421376185508724,2.8755391240119934
weighted_bert,52,3,0.4891138776903972,0.76708984375,0.7653846054455146,0.6991043133395058,0.6355140186915887,0.6333783186866555,2.880670893192291
weighted_bert,62,1,0.6755608299281448,0.57373046875,0.5736766993937443,0.6383212492579505,0.6347352024922118,0.6314623794763206,2.874536077181498
weighted_bert,62,2,0.6129619080107659,0.66982421875,0.6679613620924377,0.6297089145297096,0.633177570093458,0.6270183560077487,2.8731128613154095
weighted_bert,62,3,0.4928149464307353,0.77080078125,0.7678472753669876,0.6909919125693185,0.6549844236760125,0.6518930364776333,2.8733816901842753
weighted_bert,72,1,0.6789021412376315,0.5580078125,0.5579916088079858,0.6439678385144189,0.6378504672897196,0.6347128623825709,2.878971783320109
weighted_bert,72,2,0.613418422313407,0.6640625,0.662365349569221,0.6367140752928597,0.6456386292834891,0.6451218067674813,2.8723483006159465
weighted_bert,72,3,0.4784726718207821,0.77236328125,0.7699953571119773,0.7178653265748706,0.6464174454828661,0.6421633142138761,2.8739036202430723
weighted_bert,82,1,0.6747718911152333,0.5775390625,0.5756121534946327,0.6502484139941987,0.6269470404984424,0.6070396483370444,2.874635088443756
weighted_bert,82,2,0.6056052702479064,0.67421875,0.6721265027429713,0.634829410484859,0.6425233644859814,0.6425127395431416,2.87374587059021
weighted_bert,82,3,0.473329437780194,0.78203125,0.7795701743391323,0.696921496164231,0.647196261682243,0.6444424339822983,2.876841644446055
