model_key,seed,epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1,elapsed_minutes
weighted_roberta,42,1,0.6768399518914521,0.5810546875,0.5766542455846361,0.6516331859997341,0.6308411214953271,0.6300863311801188,2.9134842276573183
weighted_roberta,42,2,0.6243655043654144,0.65234375,0.651255573306051,0.6235107325372242,0.6596573208722741,0.6577038115671403,2.9096245328585306
weighted_roberta,42,3,0.5374290511012078,0.7349609375,0.731821121649636,0.6523400885718209,0.6713395638629284,0.6667921158855608,2.91989696820577
weighted_roberta,52,1,0.6801841082982719,0.57802734375,0.570507051556919,0.6482519791239784,0.6152647975077882,0.6111552495291902,2.9200653711954754
weighted_roberta,52,2,0.6326522695831954,0.65693359375,0.6530382919621963,0.6161693192663646,0.6596573208722741,0.6538009473292583,2.8870009263356526
weighted_roberta,52,3,0.5601771493442357,0.72626953125,0.7218344614267527,0.6182834903399149,0.660436137071651,0.6573426402215242,2.8914892276128135
weighted_roberta,62,1,0.67931909407489,0.57275390625,0.566259610024209,0.6459908996309552,0.6308411214953271,0.629098940101602,2.8944695552190143
weighted_roberta,62,2,0.6262683251406997,0.64951171875,0.6480718041015114,0.6245469990230742,0.6557632398753894,0.6528311674329492,2.902934467792511
weighted_roberta,62,3,0.5454590084962547,0.7294921875,0.7269190424251708,0.6721111138661703,0.6479750778816199,0.642562752049034,2.90893847544988
weighted_roberta,72,1,0.6763216953724622,0.57353515625,0.571696090885701,0.6706704128356207,0.6066978193146417,0.5968176688398295,2.925339154402415
weighted_roberta,72,2,0.6269999845419079,0.6546875,0.6529622533346875,0.6244966288407644,0.6565420560747663,0.6464437641384968,2.9137186209360757
weighted_roberta,72,3,0.5460451848339289,0.7306640625,0.7267730190368599,0.6280141458624885,0.6635514018691588,0.6576912823247134,2.913529936472575
weighted_roberta,82,1,0.6767688152845949,0.5697265625,0.5697228694017644,0.6370332070759365,0.6378504672897196,0.6355049641432755,2.9157872557640077
weighted_roberta,82,2,0.6205009288154543,0.66396484375,0.661998676056347,0.617185305981409,0.6627725856697819,0.6619061547732924,2.912009871006012
weighted_roberta,82,3,0.5254659140249714,0.74580078125,0.7426951267219299,0.6558506141106287,0.6674454828660437,0.6629061363517589,2.915556752681732
