model_key,seed,epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1,elapsed_minutes
unweighted_bert,42,1,0.6684356023091823,0.5806640625,0.5637203989995523,0.6548166076342264,0.6230529595015576,0.621354325335413,2.891756904125214
unweighted_bert,42,2,0.600656686257571,0.6787109375,0.6699537016645425,0.6577474276224772,0.6386292834890965,0.6308836102747111,2.99531409740448
unweighted_bert,42,3,0.4577508565038443,0.78759765625,0.7832455147748225,0.7531870887393043,0.6285046728971962,0.6197341290463179,3.043916408220927
unweighted_bert,52,1,0.6650705236941576,0.591796875,0.5735889759233659,0.6638415313902355,0.6261682242990654,0.5894484412470025,2.898338548342387
unweighted_bert,52,2,0.594826299417764,0.6876953125,0.6803138382441627,0.6405804810069856,0.6510903426791277,0.6384589857302321,2.9256203452746075
unweighted_bert,52,3,0.4501352985622361,0.79501953125,0.7908076401437789,0.7226032813390096,0.647196261682243,0.638691130275113,2.89724893172582
unweighted_bert,62,1,0.6695924478583037,0.5884765625,0.5755054179147792,0.6551678265844073,0.6253894080996885,0.6126337286208257,2.8732539971669513
unweighted_bert,62,2,0.6047417109366506,0.67724609375,0.6684380920420332,0.6636240851311457,0.633177570093458,0.6118468218387669,2.9188205361366273
unweighted_bert,62,3,0.4923963234759867,0.77333984375,0.7679189812356655,0.7148157358169556,0.6394080996884736,0.6288060380864491,2.925862264633179
unweighted_bert,72,1,0.6759819966740906,0.57138671875,0.5548961873964442,0.683639197122483,0.5950155763239875,0.5411310629968881,2.913862717151642
unweighted_bert,72,2,0.6265556926839053,0.65693359375,0.6487716142330706,0.6451199423699152,0.6433021806853583,0.6344327189902627,2.945848830540975
unweighted_bert,72,3,0.5305200513917953,0.74404296875,0.7378893491951368,0.6954401504425776,0.6394080996884736,0.6248426305669339,2.863113057613373
unweighted_bert,82,1,0.6677702762186527,0.5939453125,0.5664671340578838,0.68779966093245,0.5911214953271028,0.5190657847517957,2.868395471572876
unweighted_bert,82,2,0.5976874647662044,0.6837890625,0.6739822643532631,0.6397853777522132,0.6456386292834891,0.6405346387349123,2.8683940410614013
unweighted_bert,82,3,0.45593764546792953,0.790234375,0.784971523844535,0.7460668824967884,0.6456386292834891,0.637959529946018,2.87750293413798
