stage,epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1,elapsed_minutes,seed,model_key,target_fraction,target_train_n
source_liar,1,0.6768399518914521,0.5810546875,0.5766542455846361,0.6516331859997341,0.6308411214953271,0.6300863311801188,2.602610715230306,42,weighted_roberta,0.0,0
source_liar,2,0.6243655043654144,0.65234375,0.651255573306051,0.6235107325372242,0.6596573208722741,0.6577038115671403,2.5967374364535014,42,weighted_roberta,0.0,0
source_liar,3,0.5374290511012078,0.7349609375,0.731821121649636,0.6523400885718209,0.6713395638629284,0.6667921158855608,2.630595413843791,42,weighted_roberta,0.0,0
intermediate_ft_0.2000,1,0.5545962768536742,0.7315594476254631,0.5804026182046187,0.43557037978336727,0.8049568965517241,0.7333091995687677,0.9809279759724935,42,weighted_roberta,0.2,2969
intermediate_ft_0.2000,2,0.372982306546101,0.8386662175816774,0.7660645359744508,0.4254238990874126,0.822198275862069,0.7403614794919142,0.9782127102216085,42,weighted_roberta,0.2,2969
source_liar,1,0.6801841082982719,0.57802734375,0.570507051556919,0.6482519791239784,0.6152647975077882,0.6111552495291902,2.6148632884025576,52,weighted_roberta,0.0,0
source_liar,2,0.6326522695831954,0.65693359375,0.6530382919621963,0.6161693192663646,0.6596573208722741,0.6538009473292583,2.617296826839447,52,weighted_roberta,0.0,0
source_liar,3,0.5601771493442357,0.72626953125,0.7218344614267527,0.6182834903399149,0.660436137071651,0.6573426402215242,2.623723018169403,52,weighted_roberta,0.0,0
intermediate_ft_0.2000,1,0.5492637282417666,0.7332435163354665,0.5795682267774922,0.45141199950514166,0.787176724137931,0.712907268170426,0.9817698836326599,52,weighted_roberta,0.2,2969
intermediate_ft_0.2000,2,0.3806646227516154,0.8423711687436848,0.7730359616339544,0.439435096650288,0.8146551724137931,0.7340012632006973,0.9806629578272502,52,weighted_roberta,0.2,2969
source_liar,1,0.67931909407489,0.57275390625,0.566259610024209,0.6459908996309552,0.6308411214953271,0.629098940101602,2.630183486143748,62,weighted_roberta,0.0,0
source_liar,2,0.6262683251406997,0.64951171875,0.6480718041015114,0.6245469990230742,0.6557632398753894,0.6528311674329492,2.6203830440839133,62,weighted_roberta,0.0,0
source_liar,3,0.5454590084962547,0.7294921875,0.7269190424251708,0.6721111138661703,0.6479750778816199,0.642562752049034,2.624158255259196,62,weighted_roberta,0.0,0
intermediate_ft_0.2000,1,0.5317667136269231,0.7359380262714719,0.6013765948731157,0.4388313992270108,0.8071120689655172,0.7288771862390222,0.9853861769040425,62,weighted_roberta,0.2,2969
intermediate_ft_0.2000,2,0.37509702021876973,0.8514651397777029,0.7850902943818598,0.4297336935997009,0.8195043103448276,0.7462956910337218,0.982495653629303,62,weighted_roberta,0.2,2969
source_liar,1,0.6763216953724622,0.57353515625,0.571696090885701,0.6706704128356207,0.6066978193146417,0.5968176688398295,2.6153079072634378,72,weighted_roberta,0.0,0
source_liar,2,0.6269999845419079,0.6546875,0.6529622533346875,0.6244966288407644,0.6565420560747663,0.6464437641384968,2.6241143306096393,72,weighted_roberta,0.0,0
source_liar,3,0.5460451848339289,0.7306640625,0.7267730190368599,0.6280141458624885,0.6635514018691588,0.6576912823247134,2.6312436421712238,72,weighted_roberta,0.0,0
intermediate_ft_0.2000,1,0.5331101489243328,0.7453688110474908,0.6002158719302371,0.44455913325835916,0.8033405172413793,0.7150796564839104,0.9968517025311788,72,weighted_roberta,0.2,2969
intermediate_ft_0.2000,2,0.3776496121239278,0.8450656786796902,0.7677546750395199,0.43165820374571046,0.8178879310344828,0.7230755648158775,0.9960711677869161,72,weighted_roberta,0.2,2969
source_liar,1,0.6767688152845949,0.5697265625,0.5697228694017644,0.6370332070759365,0.6378504672897196,0.6355049641432755,2.667654232184092,82,weighted_roberta,0.0,0
source_liar,2,0.6205009288154543,0.66396484375,0.661998676056347,0.617185305981409,0.6627725856697819,0.6619061547732924,2.6697075247764586,82,weighted_roberta,0.0,0
source_liar,3,0.5254659140249714,0.74580078125,0.7426951267219299,0.6558506141106287,0.6674454828660437,0.6629061363517589,2.656312803427378,82,weighted_roberta,0.0,0
intermediate_ft_0.2000,1,0.5519482684071346,0.7268440552374537,0.5641383217799693,0.40801189582923364,0.8257004310344828,0.7471449012932263,0.99733491341273,82,weighted_roberta,0.2,2969
intermediate_ft_0.2000,2,0.3862326035416254,0.8386662175816774,0.7580209165473489,0.40243301052471686,0.8297413793103449,0.7500477320459318,0.9899233063062032,82,weighted_roberta,0.2,2969
