stage,epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1,elapsed_minutes,seed,model_key,target_fraction,target_train_n
source_liar,1,0.6768399518914521,0.5810546875,0.5766542455846361,0.6516331859997341,0.6308411214953271,0.6300863311801188,2.601462932427724,42,weighted_roberta,0.0,0
source_liar,2,0.6243655043654144,0.65234375,0.651255573306051,0.6235107325372242,0.6596573208722741,0.6577038115671403,2.6326170484224956,42,weighted_roberta,0.0,0
source_liar,3,0.5374290511012078,0.7349609375,0.731821121649636,0.6523400885718209,0.6713395638629284,0.6667921158855608,2.599280516306559,42,weighted_roberta,0.0,0
intermediate_ft_0.1000,1,0.604173417052915,0.6900269541778976,0.4965247046884035,0.47191138822456885,0.7852909482758621,0.5812899652870509,0.6152682781219483,42,weighted_roberta,0.1,1484
intermediate_ft_0.1000,2,0.41690398688598346,0.8180592991913747,0.7052809349099544,0.4481519568583061,0.8049568965517241,0.7056616602092654,0.611154572168986,42,weighted_roberta,0.1,1484
source_liar,1,0.6801841082982719,0.57802734375,0.570507051556919,0.6482519791239784,0.6152647975077882,0.6111552495291902,2.611855932076772,52,weighted_roberta,0.0,0
source_liar,2,0.6326522695831954,0.65693359375,0.6530382919621963,0.6161693192663646,0.6596573208722741,0.6538009473292583,2.6057600458463033,52,weighted_roberta,0.0,0
source_liar,3,0.5601771493442357,0.72626953125,0.7218344614267527,0.6182834903399149,0.660436137071651,0.6573426402215242,2.6088380813598633,52,weighted_roberta,0.0,0
intermediate_ft_0.1000,1,0.6185423884020057,0.6893530997304582,0.48340201179955705,0.5109904449561546,0.751885775862069,0.42918652929417195,0.6158787051836649,52,weighted_roberta,0.1,1484
intermediate_ft_0.1000,2,0.45392045202434705,0.7722371967654986,0.5331474332006716,0.4677021200286931,0.8036099137931034,0.6598893340246029,0.6119009097417195,52,weighted_roberta,0.1,1484
source_liar,1,0.67931909407489,0.57275390625,0.566259610024209,0.6459908996309552,0.6308411214953271,0.629098940101602,2.6116802016894023,62,weighted_roberta,0.0,0
source_liar,2,0.6262683251406997,0.64951171875,0.6480718041015114,0.6245469990230742,0.6557632398753894,0.6528311674329492,2.6381877183914186,62,weighted_roberta,0.0,0
source_liar,3,0.5454590084962547,0.7294921875,0.7269190424251708,0.6721111138661703,0.6479750778816199,0.642562752049034,2.612913159529368,62,weighted_roberta,0.0,0
intermediate_ft_0.1000,1,0.5987290557353727,0.6846361185983828,0.4891536205105875,0.4565343435468345,0.7772090517241379,0.5467111417258597,0.6147343715031942,62,weighted_roberta,0.1,1484
intermediate_ft_0.1000,2,0.41723927246626985,0.8146900269541779,0.6918341718977835,0.43731693769323415,0.8135775862068966,0.7212913261160916,0.6132660984992981,62,weighted_roberta,0.1,1484
source_liar,1,0.6763216953724622,0.57353515625,0.571696090885701,0.6706704128356207,0.6066978193146417,0.5968176688398295,2.6140105644861857,72,weighted_roberta,0.0,0
source_liar,2,0.6269999845419079,0.6546875,0.6529622533346875,0.6244966288407644,0.6565420560747663,0.6464437641384968,2.6254513104756674,72,weighted_roberta,0.0,0
source_liar,3,0.5460451848339289,0.7306640625,0.7267730190368599,0.6280141458624885,0.6635514018691588,0.6576912823247134,2.615065058072408,72,weighted_roberta,0.0,0
intermediate_ft_0.1000,1,0.5868182111811894,0.704177897574124,0.49205621503615776,0.5014333072407492,0.7928340517241379,0.6250778371229061,0.6152793566385905,72,weighted_roberta,0.1,1484
intermediate_ft_0.1000,2,0.4278675192786801,0.8254716981132075,0.7038528957395086,0.4760546211538644,0.7901400862068966,0.6869759768117524,0.614361826578776,72,weighted_roberta,0.1,1484
source_liar,1,0.6767688152845949,0.5697265625,0.5697228694017644,0.6370332070759365,0.6378504672897196,0.6355049641432755,2.606556308269501,82,weighted_roberta,0.0,0
source_liar,2,0.6205009288154543,0.66396484375,0.661998676056347,0.617185305981409,0.6627725856697819,0.6619061547732924,2.6079582929611207,82,weighted_roberta,0.0,0
source_liar,3,0.5254659140249714,0.74580078125,0.7426951267219299,0.6558506141106287,0.6674454828660437,0.6629061363517589,2.6062883416811626,82,weighted_roberta,0.0,0
intermediate_ft_0.1000,1,0.6080258392518566,0.694743935309973,0.49092451165626055,0.45859451797501793,0.7896012931034483,0.5860440775716141,0.6127777536710103,82,weighted_roberta,0.1,1484
intermediate_ft_0.1000,2,0.4252054564734941,0.8012129380053908,0.6626895916724134,0.4259480641319834,0.818426724137931,0.7277828432407261,0.6128221432367961,82,weighted_roberta,0.1,1484
