stage,epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1,elapsed_minutes,seed,model_key,target_fraction,target_train_n
source_liar,1,0.6768399518914521,0.5810546875,0.5766542455846361,0.6516331859997341,0.6308411214953271,0.6300863311801188,2.6050044536590575,42,weighted_roberta,0.0,0
source_liar,2,0.6243655043654144,0.65234375,0.651255573306051,0.6235107325372242,0.6596573208722741,0.6577038115671403,2.6057551304499307,42,weighted_roberta,0.0,0
source_liar,3,0.5374290511012078,0.7349609375,0.731821121649636,0.6523400885718209,0.6713395638629284,0.6667921158855608,2.6161553899447125,42,weighted_roberta,0.0,0
intermediate_ft_0.2000,1,0.5545962768536742,0.7315594476254631,0.5804026182046187,0.43557037978336727,0.8049568965517241,0.7333091995687677,0.980682889620463,42,weighted_roberta,0.2,2969
intermediate_ft_0.2000,2,0.372982306546101,0.8386662175816774,0.7660645359744508,0.4254238990874126,0.822198275862069,0.7403614794919142,0.9776234149932861,42,weighted_roberta,0.2,2969
