section,seed,target_train_n,test_n,accuracy_baseline,macro_f1_baseline,real_recall_baseline,fake_recall_baseline,accuracy,macro_f1,real_recall,fake_recall,accuracy_uplift,macro_f1_uplift,real_recall_uplift,fake_recall_uplift,confusion_matrix,row
per_seed,42,2969,4640,0.2601293103448276,0.2178325950453414,0.0183433648609916,0.993049522154648,0.8230603448275862,0.7446680562072914,0.9157351676698194,0.5421372719374457,0.5629310344827585,0.52683546116195,0.8973918028088278,-0.4509122502172024,"[[3195, 294], [527, 624]]",
per_seed,52,2969,4640,0.2665948275862069,0.229123406348589,0.0306678131269704,0.9817549956559514,0.8217672413793103,0.7481193859812706,0.9059902550874176,0.5664639443961772,0.5551724137931034,0.5189959796326816,0.8753224419604472,-0.41529105125977417,"[[3161, 328], [499, 652]]",
per_seed,62,2969,4640,0.2655172413793103,0.2249137770297812,0.0243622814560045,0.996524761077324,0.81875,0.7453597075379659,0.9014044138721696,0.5682015638575152,0.5532327586206897,0.5204459305081847,0.8770421324161651,-0.4283231972198088,"[[3145, 344], [497, 654]]",
per_seed,72,2969,4640,0.3040948275862069,0.2817164943839875,0.0848380624820865,0.9687228496959166,0.8265086206896551,0.7383828414668799,0.935511607910576,0.4960903562119895,0.5224137931034483,0.45666634708289244,0.8506735454284895,-0.4726324934839271,"[[3264, 225], [580, 571]]",
per_seed,82,2969,4640,0.265948275862069,0.2283667066646667,0.0300945829750644,0.9808861859252824,0.8314655172413793,0.7548450877265525,0.9246202350243624,0.5490877497827976,0.5655172413793104,0.5264783810618857,0.894525652049298,-0.4317984361424848,"[[3226, 263], [519, 632]]",
summary,,,,0.27245689655172417,0.23639059589447314,0.03766122098022348,0.9841876629018245,0.8243103448275862,0.746275015783992,0.9166523359128691,0.544396177237185,0.5518534482758619,0.5098844198895189,0.8789911149326455,-0.4397914856646395,,mean
summary,,,,0.01787325426147578,0.025728139667099404,0.026841467432440907,0.011030804690254609,0.004872787158987095,0.0059698064927463925,0.013839976952728232,0.029215786103359634,0.0172411099116884,0.029955911972273888,0.018701935692559523,0.02234885324443187,,std
summary,,,,0.2601293103448276,0.2178325950453414,0.0183433648609916,0.9687228496959166,0.81875,0.7383828414668799,0.9014044138721696,0.4960903562119895,0.5224137931034483,0.45666634708289244,0.8506735454284895,-0.4726324934839271,,min
summary,,,,0.3040948275862069,0.2817164943839875,0.0848380624820865,0.996524761077324,0.8314655172413793,0.7548450877265525,0.935511607910576,0.5682015638575152,0.5655172413793104,0.52683546116195,0.8973918028088278,-0.41529105125977417,,max
baseline_comparison,,,,,,,,0.2724568965517241,0.2363905958944731,0.0376612209802234,0.9841876629018244,,,,,,direct baseline mean
baseline_comparison,,,,,,,,0.0178732542614757,0.0257281396670994,0.0268414674324409,0.0110308046902546,,,,,,direct baseline std
baseline_comparison,,,,,,,,0.8083189655172414,0.7034786737433263,0.930524505588994,0.4378801042571677,,,,,,10% FT mean
baseline_comparison,,,,,,,,0.0068417814380565,0.0298336680689114,0.0196541468691139,0.0790807779049425,,,,,,10% FT std
