seed,best_epoch,valid_accuracy,valid_macro_f1,test_accuracy,test_macro_f1,training_minutes
42,2,0.6386292834890965,0.6308836102747111,0.6400947119179163,0.6231055861723447,8.905471314999643
52,3,0.647196261682243,0.638691130275113,0.6345698500394633,0.613170588565004,8.943253108333254
62,3,0.6394080996884736,0.6288060380864491,0.6361483820047356,0.6145375568620903,8.899557749999804
72,2,0.6433021806853583,0.6343595832082433,0.643251775848461,0.6210001139399246,8.69574616666605
82,2,0.6456386292834891,0.6404927553461734,0.6582478295185478,0.6434643885352858,8.695526666667128
