seed,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,confusion_matrix,prediction_hash
42,0.6230529595015576,0.612283044058745,0.6235201262825573,0.6005223174714599,"[[547, 167], [310, 243]]",6c39052eff8c0d20
52,0.6230529595015576,0.612283044058745,0.6235201262825573,0.6005223174714599,"[[547, 167], [310, 243]]",6c39052eff8c0d20
62,0.6230529595015576,0.612283044058745,0.6235201262825573,0.6005223174714599,"[[547, 167], [310, 243]]",6c39052eff8c0d20
72,0.6230529595015576,0.612283044058745,0.6235201262825573,0.6005223174714599,"[[547, 167], [310, 243]]",6c39052eff8c0d20
82,0.6230529595015576,0.612283044058745,0.6235201262825573,0.6005223174714599,"[[547, 167], [310, 243]]",6c39052eff8c0d20
