setting,threshold,best_epoch,valid_accuracy,valid_macro_f1,valid_real_recall,valid_fake_recall,test_accuracy,test_macro_f1,test_real_recall,test_fake_recall,test_confusion_matrix
default_0.50,0.5,3,0.660436137071651,0.6573426402215242,0.7260479041916168,0.5892857142857143,0.6606156274664562,0.6495641501957979,0.7436974789915967,0.5533453887884268,"[[531, 183], [247, 306]]"
tuned_threshold,0.57,3,0.6705607476635514,0.6622848988499959,0.7949101796407185,0.5357142857142857,0.6582478295185478,0.6393538212542951,0.7871148459383753,0.4918625678119349,"[[562, 152], [281, 272]]"
