variant,best_epoch,valid_accuracy,valid_macro_f1,test_accuracy,test_macro_f1,real_recall,fake_recall,confusion_matrix,context_dep_count,context_dep_accuracy,context_dep_macro_f1,context_dep_errors,training_minutes
statement_only,3,0.660436137071651,0.6573426402215242,0.6606156274664562,0.6495641501957979,0.7436974789915967,0.5533453887884268,"[[531, 183], [247, 306]]",516,0.6802325581395349,0.6596129166383478,165,7.889885361666772
statement_plus_context,3,0.6565420560747663,0.6523497720679652,0.6535122336227308,0.6401669606981193,0.7507002801120448,0.5280289330922242,"[[536, 178], [261, 292]]",516,0.6550387596899225,0.6276271406331084,178,7.93106218999989
