seed,best_epoch,valid_accuracy,valid_macro_f1,test_accuracy,test_macro_f1,real_recall,fake_recall,confusion_matrix,training_minutes
42,3,0.6713395638629284,0.6667921158855608,0.6535122336227308,0.6408389269328993,0.7464985994397759,0.5334538878842676,"[[533, 181], [258, 295]]",7.648796878333087
52,3,0.660436137071651,0.6573426402215242,0.6606156274664562,0.6495641501957979,0.7436974789915967,0.5533453887884268,"[[531, 183], [247, 306]]",7.660729903333413
62,2,0.6557632398753894,0.6528311674329492,0.6503551696921863,0.6402840397476199,0.7254901960784313,0.5533453887884268,"[[518, 196], [247, 306]]",7.656450748333494
72,3,0.6635514018691588,0.6576912823247134,0.6558800315706393,0.6401374796099707,0.7675070028011205,0.5117540687160941,"[[548, 166], [270, 283]]",7.6607832066666255
82,3,0.6674454828660437,0.6629061363517589,0.6408839779005525,0.6272866863857506,0.7380952380952381,0.515370705244123,"[[527, 187], [268, 285]]",7.665928353333341
