seed,best_epoch,valid_accuracy,valid_macro_f1,test_accuracy,test_macro_f1,real_recall,fake_recall,training_minutes
42,2,0.6425233644859814,0.6407187380934238,0.6456195737963694,0.6379845656798604,0.7016806722689075,0.5732368896925859,7.500125808333334
52,2,0.6456386292834891,0.6421376185508724,0.6440410418310971,0.6314705975300107,0.7352941176470589,0.5262206148282098,7.51244917
62,3,0.6549844236760125,0.6518930364776333,0.6314127861089187,0.6217995059076948,0.7016806722689075,0.5406871609403255,7.519382598333334
72,2,0.6456386292834891,0.645089756643847,0.6471981057616417,0.6439420138719459,0.6596638655462185,0.631103074141049,7.55827680833341
82,3,0.647196261682243,0.6443603065127522,0.6377269139700079,0.6255555047865162,0.7254901960784313,0.5244122965641953,7.559770974999971
