baseline,test_accuracy,test_macro_f1,accuracy_delta_vs_weighted_mean,macro_f1_delta_vs_weighted_mean
Weighted BERT mean,0.641199684293607,0.6321504375552056,0.0,0.0
Unweighted BERT 5-run mean,0.6424634102669249,0.6230556468149298,0.0012637259733179196,-0.00909479074027586
TF-IDF baseline,0.6235,0.6005,-0.01769968429360691,-0.03165043755520558
RoBERTa baseline,0.6504,0.6262,0.009200315706393014,-0.005950437555205634
