block,setting,decision_model,training_data,test_data,runs,target_fraction,target_train_n,accuracy,macro_f1,real_recall,fake_recall,note
In-domain baseline,Weighted RoBERTa on LIAR test,Weighted RoBERTa,LIAR train,LIAR test,5 seeds,,,0.6522,0.6396,0.7443,0.5335,Existing local in-domain transformer baseline.
Direct transfer baseline,LIAR -> FakeNewsNet combined titles,Weighted RoBERTa,LIAR train,FakeNewsNet combined titles,5 seeds,0%,0.0,0.2718,0.2358,0.0372,0.9827,Strict zero-shot direct transfer from LIAR to FNN; severe FAKE bias.
Direct transfer baseline,LIAR -> held-out FakeNewsNet test,Weighted RoBERTa,LIAR train,Held-out FakeNewsNet test split,5 seeds,0%,0.0,0.2725,0.2364,0.0377,0.9842,2026-05-30 5-seed held-out title-test rerun; confirms severe FAKE bias rather than a seed-42 accident.
Intermediate fine-tuning,LIAR -> 5% FNN train -> FNN test,Weighted RoBERTa,"LIAR train, then stratified 5% FNN target-train titles",Held-out FakeNewsNet test split,seed 42,5%,742.0,0.7519,0.4292,1.0,0.0,Seed-42 only; high accuracy is misleading because the model collapses to REAL predictions.
Intermediate fine-tuning,LIAR -> 10% FNN train -> FNN test,Weighted RoBERTa,"LIAR train, then stratified 10% FNN target-train titles",Held-out FakeNewsNet test split,5 seeds,10%,1484.0,0.8083,0.7035,0.9305,0.4379,"2026-05-30 5-seed rerun; stable improvement over direct transfer, but subset is stratified rather than 1:1 balanced."
Intermediate fine-tuning,LIAR -> 20% FNN train -> FNN test,Weighted RoBERTa,"LIAR train, then stratified 20% FNN target-train titles",Held-out FakeNewsNet test split,5 seeds,20%,2969.0,0.8243,0.7463,0.9167,0.5444,2026-05-30 5-seed rerun; compare with 10% to decide whether to emphasize efficiency or best absolute performance.
TELLER-like pilot,LLM atoms: LIAR atoms -> FakeNewsNet atoms,Logistic Regression on DeepSeek-generated atoms,LIAR train+valid atom features,Balanced FakeNewsNet atom test sample,1000-row pilot,,,0.53,0.4405,0.13,0.93,Current DeepSeek V4 Flash reasoning-atom setup shows limited performance in this pilot.
TELLER-like pilot,LLM atoms: FakeNewsNet atoms -> FakeNewsNet atoms,Logistic Regression on DeepSeek-generated atoms,Balanced FakeNewsNet train atom sample,Balanced FakeNewsNet atom test sample,1000-row pilot,,200.0,0.6,0.6,0.59,0.61,Target-domain atom upper-bound pilot for the current setup; not a main contribution.
